,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.15902140672782875,0.5,0.24129930394431556,0.027607361963190184,0.08737864077669903,0.04195804195804197,0.05447070914696814,0.17434210526315788,0.08300704776820673
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.11839323467230443,0.5384615384615384,0.19410745233968804,0.03177966101694915,0.14563106796116504,0.05217391304347825,0.041105598866052445,0.19078947368421054,0.06763848396501458
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.20279720279720279,0.27884615384615385,0.23481781376518215,0.007042253521126761,0.009708737864077669,0.008163265306122448,0.0498812351543943,0.06907894736842106,0.057931034482758624
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.17277486910994763,0.3173076923076923,0.223728813559322,0.02631578947368421,0.04854368932038835,0.0341296928327645,0.05221238938053097,0.09703947368421052,0.06789413118527042
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.18592964824120603,0.3557692307692308,0.24422442244224424,0.010101010101010102,0.019417475728155338,0.013289036544850499,0.04584040747028863,0.08881578947368421,0.06047032474804031
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.2198952879581152,0.40384615384615385,0.2847457627118644,0.031578947368421054,0.05825242718446602,0.040955631399317405,0.06460176991150443,0.12006578947368421,0.08400460299194477
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.1300639658848614,0.5865384615384616,0.21291448516579412,0.03632478632478633,0.1650485436893204,0.0595446584938704,0.049678341672623305,0.22861842105263158,0.08162066940692896
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.1373134328358209,0.4423076923076923,0.20956719817767655,0.023952095808383235,0.07766990291262135,0.03661327231121282,0.041123370110330994,0.13486842105263158,0.06302843966179862
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.21621621621621623,0.46153846153846156,0.294478527607362,0.08144796380090498,0.17475728155339806,0.1111111111111111,0.09574468085106383,0.20723684210526316,0.13097713097713098
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.0928030303030303,0.47115384615384615,0.15506329113924053,0.013282732447817837,0.06796116504854369,0.022222222222222223,0.02950507614213198,0.15296052631578946,0.04946808510638298
10,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,10,0.1026438569206843,0.6346153846153846,0.17670682730923695,0.024922118380062305,0.1553398058252427,0.042953020134228186,0.035658511192087454,0.22532894736842105,0.061573033707865175
11,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,11,0.1026438569206843,0.6346153846153846,0.17670682730923695,0.024922118380062305,0.1553398058252427,0.042953020134228186,0.035658511192087454,0.22532894736842105,0.061573033707865175
12,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,12,0.14857142857142858,0.5,0.2290748898678414,0.03151862464183381,0.10679611650485436,0.048672566371681415,0.04990403071017274,0.17105263157894737,0.07726597325408618
13,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,13,0.07971864009378664,0.6538461538461539,0.14211076280041798,0.018779342723004695,0.1553398058252427,0.033507853403141365,0.028616228929831438,0.24013157894736842,0.05113835376532399
