,dataset,Solution no,rouge_1_p,rouge_1_r,rouge_1_f,rouge_2_p,rouge_2_r,rouge_2_f,rouge_su4_p,rouge_su4_r,rouge_su4_f
0,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,0,0.11926605504587157,0.4642857142857143,0.1897810218978102,0.024539877300613498,0.0963855421686747,0.039119804400978,0.03699897225077081,0.14754098360655737,0.05916187345932621
1,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,1,0.10993657505285412,0.6190476190476191,0.1867145421903052,0.05296610169491525,0.30120481927710846,0.09009009009009009,0.05705173635719348,0.32991803278688525,0.09728096676737162
2,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,2,0.1958041958041958,0.3333333333333333,0.24669603524229075,0.014084507042253521,0.024096385542168676,0.017777777777777778,0.0498812351543943,0.0860655737704918,0.06315789473684211
3,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,3,0.1518324607329843,0.34523809523809523,0.2109090909090909,0.021052631578947368,0.04819277108433735,0.029304029304029304,0.04070796460176991,0.0942622950819672,0.05686032138442522
4,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,4,0.1306532663316583,0.30952380952380953,0.18374558303886926,0.015151515151515152,0.03614457831325301,0.021352313167259787,0.03310696095076401,0.07991803278688525,0.0468187274909964
5,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,5,0.17277486910994763,0.39285714285714285,0.24,0.021052631578947368,0.04819277108433735,0.029304029304029304,0.049557522123893805,0.11475409836065574,0.069221260815822
6,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,6,0.10021321961620469,0.5595238095238095,0.16998191681735986,0.03205128205128205,0.18072289156626506,0.0544464609800363,0.03824160114367405,0.2192622950819672,0.06512477175897748
7,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,7,0.14626865671641792,0.5833333333333334,0.23389021479713606,0.0748502994011976,0.30120481927710846,0.11990407673860912,0.07522567703109329,0.3073770491803279,0.12087026591458501
8,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,8,0.15765765765765766,0.4166666666666667,0.22875816993464054,0.013574660633484163,0.03614457831325301,0.01973684210526316,0.05167173252279635,0.13934426229508196,0.0753880266075388
9,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,9,0.06628787878787878,0.4166666666666667,0.11437908496732026,0.0056925996204933585,0.03614457831325301,0.009836065573770491,0.018083756345177664,0.1168032786885246,0.03131868131868132
10,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,10,0.07931570762052877,0.6071428571428571,0.14030261348005502,0.018691588785046728,0.14457831325301204,0.03310344827586206,0.026288391462779802,0.2069672131147541,0.04665127020785219
11,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,11,0.07931570762052877,0.6071428571428571,0.14030261348005502,0.018691588785046728,0.14457831325301204,0.03310344827586206,0.026288391462779802,0.2069672131147541,0.04665127020785219
12,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,12,0.13428571428571429,0.5595238095238095,0.21658986175115205,0.025787965616045846,0.10843373493975904,0.04166666666666667,0.04366602687140115,0.1864754098360656,0.07076205287713842
13,Raw-Topic-48_Shut-Down-of-Malaysia-Airlines-mh17,13,0.06213364595545135,0.6309523809523809,0.11312700106723586,0.01643192488262911,0.1686746987951807,0.029946524064171122,0.020972167777342218,0.2192622950819672,0.03828264758497316
